Position (bp)	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20
1	35.473713779696	35.5149453069957	35.489076102896	35.5308046420583	35.523262750685	35.5347039621986	35.5073226757252	35.5084553624922	35.5203568119425	35.5984211962837	35.545359255703	35.4320420494134	35.6140762122738	35.5627044475166	35.5549402674712	35.536449972315	35.6773031545665	35.6021976121594	35.6317103978117	25.6383341182231
2	35.3213275696082	35.3751550374423	35.3219527581899	35.3795017583152	35.3521457709406	35.3848498462512	35.3984258469692	35.3631403090728	35.3937164539324	35.4480164512008	35.3775702146058	35.2890844426326	35.42831593399	35.3624508325075	35.4109288665532	35.3972573010541	35.5112053962885	35.4167654860168	35.3990923253911	25.4910424902035
3	35.6427183347014	35.6706419284613	35.6368602256244	35.6853314419959	35.6756655956007	35.687468383363	35.6859725087338	35.6664934412635	35.6843990731264	35.7285221525058	35.6817035837765	35.6432244565091	35.7298898374443	35.6819140660617	35.7089295144959	35.7028744959102	35.8080533810712	35.7088424851351	35.717606282904	25.7673435689075
4	35.9127330260612	35.9459069827193	35.9053104095155	35.9426268244566	35.9231718730186	35.9405540511064	35.8971465569601	35.9106655347867	35.9459038708914	35.9931160427282	35.9514319932542	35.9568341443066	36.0014526301491	35.946057208375	35.9820252246825	35.9654787934034	36.0867930786043	36.0001138471389	35.996197024463	26.0515039109424
5	36.0340538837999	36.0653872753217	36.0216518280939	36.0641768869723	36.0422407406303	36.0589351931043	36.0159108614722	36.0319303055206	36.059583568526	36.1100321132182	36.0714700129365	36.0775373189298	36.1128097485151	36.063367298744	36.0960228869322	36.0829630053857	36.1839273978732	36.1028867094639	36.0915513795895	26.1520366556568
6	36.0545376505393	36.0888834049304	36.0486412317265	36.0869756041634	36.070852683789	36.0779623587155	36.0412005354673	36.0532591824627	36.0754515513332	36.1277833145395	36.0846236146684	36.0849012913467	36.1261024250138	36.0766511193569	36.1101223687541	36.0896437720165	36.1795012405785	36.0965058340116	36.0963248984039	26.1447121683837
7	35.9717980075079	36.0145607018033	35.9672107644245	36.0222697863909	36.0032208476401	36.0105220830814	35.9814135721584	35.9943068442758	36.0071991781679	36.0542884013419	36.002637081093	35.9865139629379	36.0601407292239	36.0060994826818	36.0424049565999	36.0164405013158	36.1048432507546	36.0141652113241	36.0033826375525	26.0733721673642
8	36.0275645769584	36.0590588240716	36.0123253417067	36.0605644064112	36.0446829887744	36.0577798391438	36.0459509947285	36.0504061623336	36.0570615519035	36.09804981214	36.0516051339844	36.0462758057565	36.0932493701501	36.0506042558046	36.0852848810052	36.060649829456	36.1630329322762	36.0719816403118	36.0567475973951	26.1226542477232
9	36.043528912226	36.0703832542856	36.0387020569895	36.0784539078491	36.0612219720389	36.081421832071	36.065766760125	36.0680493843849	36.0796294694589	36.1259372178006	36.0623639749375	36.0717435494675	36.1060587704661	36.0702922906632	36.1008419169778	36.0759226345815	36.1652619147136	36.0750093601776	36.0654850532038	26.1313723491889
12	36.1077045634403	36.1404943253272	36.0975905510201	36.1392649982412	36.1199261050084	36.1396244225302	36.1069174675407	36.118185932191	36.1319776828769	36.1849181728998	36.126977508081	36.1367961693202	36.1800799280773	36.1330150782955	36.1617018506803	36.1459795126862	36.2254957501263	36.1424140133245	36.1274044729261	26.1918682334662
