Sample	no_feature	ambiguous	too_low_aQual	not_aligned	alignment_not_unique	assigned	total_count	percent_assigned
sample_01	652561	1731889	0	0	5463952	6684684	14533086	45.996314891413974
sample_02	413927	1243270	0	0	3880477	4831854	10369528	46.596662837498485
sample_03	399828	1228684	0	0	3876206	4724190	10228908	46.18469537510749
sample_04	586139	1744887	0	0	5387199	6874827	14593052	47.110275492748194
sample_05	485726	1358073	0	0	4213315	5429971	11487085	47.270225649065885
sample_06	638293	2699331	0	0	7606100	7702449	18646173	41.30847118065461
sample_07	584104	2413142	0	0	7458542	6879094	17334882	39.68353519798981
sample_08	414135	2148779	0	0	6074471	5622025	14259410	39.42677151438944
sample_09	827148	2861796	0	0	8112082	8106706	19907732	40.721394079446114
sample_10	722264	3683927	0	0	10109457	9511988	24027636	39.58769809897237
sample_11	792286	2372845	0	0	5434134	8949566	17548831	50.99807502847341
sample_12	605100	1952120	0	0	4201715	6525568	13284503	49.12165701644992
sample_13	739156	2177312	0	0	5119488	8802476	16838432	52.276102667991886
sample_14	813495	2312980	0	0	5139908	8881663	17148046	51.794023645609535
sample_15	815259	2978822	0	0	6925220	10391280	21110581	49.22308864924182
sample_16	817077	1898212	0	0	4561921	8110285	15387495	52.70698706969523
sample_17	1693709	1243707	0	0	5954428	14223988	23115832	61.53353251572342
sample_18	709322	906434	0	0	4606820	8862849	15085425	58.75107264130776
sample_19	472285	528977	0	0	5010057	5315982	11327301	46.93070308628684
sample_20	830710	1030399	0	0	5401103	10038998	17301210	58.02483178922168
