Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
sample_01	18862107	150	9069134	48.08	147.07	3024708	2968296	2983037	10920	1183	29568	0.5	0.01	1.64	0.01	1.58	5463952	28.97	3678	0.02	0	22.88	0.05	0	4315911	9432
sample_02	13886968	150	6489051	46.73	146.74	2224495	2192174	2201248	7673	838	14736	0.5	0.01	1.62	0.01	1.58	3880477	27.94	2416	0.02	0	25.27	0.04	0	3509469	5555
sample_03	13594187	150	6352702	46.73	147.05	2147050	2110914	2120492	7614	791	18153	0.51	0.01	1.64	0.01	1.56	3876206	28.51	2908	0.02	0	24.67	0.06	0	3354213	8158
sample_04	19947789	150	9205853	46.15	146.76	3094350	3037042	3051125	11340	1349	30536	0.52	0.01	1.62	0.01	1.57	5387199	27.01	3874	0.02	0	26.77	0.06	0	5338897	11966
sample_05	15425132	150	7273770	47.16	146.87	2417410	2372221	2384150	8898	936	23426	0.51	0.01	1.63	0.01	1.57	4213315	27.31	2956	0.02	0	25.46	0.05	0	3927378	7713
sample_06	24132864	150	11040073	45.75	146.92	3589419	3527280	3542077	14186	1390	31766	0.54	0.01	1.69	0.01	1.51	7606100	31.52	3430	0.01	0	22.69	0.03	0	5476021	7240
sample_07	20899874	150	9876340	47.26	147.51	3333351	3266631	3282528	13224	1383	36216	0.47	0.01	1.74	0.01	1.55	7458542	35.69	2856	0.01	0	17.02	0.02	0	3557955	4181
sample_08	17695634	150	8184939	46.25	147.41	2714196	2667330	2679388	9748	1009	24051	0.51	0.01	1.69	0.01	1.51	6074471	34.33	2143	0.01	0	19.39	0.02	0	3430543	3538
sample_09	24302774	150	11795650	48.54	147.56	3750993	3690372	3705678	14461	1404	29450	0.52	0.01	1.7	0.01	1.53	8112082	33.38	3527	0.01	0	18.05	0.02	0	4386654	4861
sample_10	32058450	150	13918179	43.42	146.3	4395380	4328273	4344422	15937	1431	33590	0.58	0.01	1.64	0.01	1.47	10109457	31.53	4073	0.01	0	25.01	0.03	0	8017124	9617
sample_11	23204823	150	12114697	52.21	146.77	4040535	3980713	3993660	14757	1505	30613	0.52	0.01	1.75	0.01	1.62	5434134	23.42	4351	0.02	0	24.31	0.05	0	5640041	11600
sample_12	15924693	150	9082788	57.04	148.11	2840743	2807757	2816017	9399	921	14406	0.51	0.01	1.76	0.01	1.62	4201715	26.38	2198	0.01	0	16.54	0.03	0	2633216	4776
sample_13	24985713	150	11718944	46.9	145.78	3845447	3797357	3807675	14149	1401	22222	0.54	0.01	1.73	0.01	1.64	5119488	20.49	3391	0.01	0	32.57	0.03	0	8136396	7494
sample_14	22055477	150	12008138	54.45	147.28	4006275	3951303	3964319	14919	1514	25523	0.5	0.01	1.75	0.01	1.62	5139908	23.3	3769	0.02	0	22.2	0.04	0	4894842	8820
sample_15	28391398	150	14185361	49.96	146.35	4721479	4662163	4675991	16041	1588	27859	0.52	0.01	1.71	0.01	1.65	6925220	24.39	3702	0.01	0	25.6	0.03	0	7268597	8518
sample_16	20149933	150	10825574	53.73	146.8	3549804	3501376	3511493	13831	1395	23085	0.5	0.01	1.72	0.01	1.62	4561921	22.64	3824	0.02	0	23.57	0.04	0	4750552	8062
sample_17	30181485	150	17161404	56.86	145.55	5814844	5740700	5764415	27217	2311	20901	0.59	0.01	1.72	0.01	1.47	5954428	19.73	6886	0.02	0	23.37	0.02	0	7052731	6036
sample_18	19868747	150	10478605	52.74	146.29	3598629	3555805	3568052	14171	1273	15133	0.64	0.01	1.65	0.01	1.42	4606820	23.19	3584	0.02	0	24.03	0.02	0	4775763	3975
sample_19	16755564	150	6317244	37.7	146.07	1476544	1450225	1457374	5501	410	13259	0.77	0.01	1.55	0.01	1.5	5010057	29.9	3222	0.02	0	32.32	0.06	0	5414988	10053
sample_20	23088169	150	11900107	51.54	145.22	3964555	3917225	3930546	16410	1427	16172	0.62	0.01	1.66	0.01	1.45	5401103	23.39	3267	0.01	0	25.04	0.01	0	5781383	2309
