"Position (bp)"	"P058_RNA_BCG_R1"	"P058_RNA_BCG_R2"	"P058_RNA_COMBO_R1"	"P058_RNA_COMBO_R2"	"P058_RNA_HBV_R1"	"P058_RNA_HBV_R2"	"P058_RNA_VEH_R1"	"P058_RNA_VEH_R2"
1	38.55643532333738	37.94043964162313	38.443099833333335	37.70801436666667	38.51789109152168	37.51338518064544	38.541435480117784	38.096259105639554
2	39.11532868786325	38.53710037155935	39.13974953333334	38.38671083333333	39.15770095615877	38.545176599642616	39.171769667466286	38.704936293845336
3	39.356144973999584	38.89680512024709	39.3386622	38.7166556	39.35140287394399	38.82301512149028	39.37457364777222	39.06010649901948
4	39.292291439858666	38.930865841244774	39.295538066666666	38.8214162	39.30279341348695	38.913012921569916	39.31394862879459	39.10849649977645
5	39.302019532409965	38.991352057942265	39.32119013333333	38.85627436666667	39.32531011953377	38.96796817439016	39.335452333822126	39.162868962565206
6	39.2783580828121	39.00450416280914	39.310892933333335	38.8711357	39.314462984590996	38.980536058208095	39.320761330993975	39.1714939661469
7	39.366262560848945	39.056874484870235	39.379687866666664	38.87690713333333	39.37640509028168	38.99514033164977	39.38362260984609	39.19957743854657
8	39.390747954865404	39.0765218111806	39.3920578	38.9052118	39.38363063665353	39.01253197986124	39.39709472012966	39.23016788271603
9	39.3828418365201	39.075990237532565	39.389102566666665	38.88469763333333	39.375747541078624	39.008820381569834	39.39795180815066	39.22493255130209
12	39.34880048758643	39.08454320383512	39.34171752666667	38.84967833333333	39.319804222790694	38.978430558821174	39.352322869148836	39.21230514576413
17	39.5247811285775	39.104382871578956	39.48422474666667	38.791489133333336	39.47277823389365	38.9442083634377	39.498103291817685	39.211512036415385
22	39.53756814373566	39.045996165489434	39.440992613333336	38.70437316	39.43416884624384	38.881037128974	39.45214028949019	39.161705200780844
27	39.362465931093254	38.66974458933778	39.084838440000006	38.16347056666666	39.07548257987131	38.41105093807831	39.06132678860281	38.80751344542875
32	39.311266492377754	38.52280467268924	38.91994535333333	37.93862378	38.91283859822387	38.22416563273264	38.85335900146513	38.66497215687529
37	39.299845418298915	38.48166153561404	38.811304279999995	37.83037316	38.80718136237742	38.14130589614349	38.71253717299136	38.580816244120264
42	39.244744287965304	38.45042269264636	38.67668875333332	37.72570425333333	38.669452970741915	38.05613831317644	38.55613614817317	38.500269395637716
47	39.21337596801756	38.39527954388476	38.509829960000005	37.64526295333334	38.5273656674517	37.989430560391526	38.395005843090786	38.42573742618801
52	39.16130496540218	38.364402695306865	38.35508990666666	37.549065733333336	38.37419600476759	37.896086268856536	38.223804057618246	38.34322683542261
57	39.138626100581966	38.313433394606264	38.21304510666667	37.473448059999996	38.18253393138047	37.827513665988135	38.04717909129092	38.271287437252646
62	39.10410666174223	38.27783874304363	38.09258778666667	37.39988011333334	38.04895281078014	37.75136003188671	37.880402592352695	38.18343527360315
67	39.06696867784664	38.25693538053235	37.965269033333335	37.348406493333336	37.94070950501221	37.698980127766696	37.711639970000725	38.11800587640113
72	38.98883826942825	38.18766322740587	37.84640756666666	37.277510459999995	37.83570997540401	37.62835050655986	37.528476624762	38.02240003368099
77	38.952359662161726	38.16376677572051	37.745478053333336	37.22836018666666	37.74218667801888	37.57658075556486	37.37342354275435	37.93897601716894
82	38.90656480821367	38.10161175046234	37.62898523333333	37.17018503333333	37.62876991902266	37.51601921768205	37.22509682215027	37.84519918327405
87	38.85353181416694	38.036331274297005	37.517344539999996	37.10000605333333	37.51712912818769	37.44278326901315	37.078731078262535	37.74506044402168
92	38.792404940150064	37.949479309977605	37.399651793333334	37.01028562666666	37.40113756297647	37.34452400418627	36.93069516980508	37.62816619229916
97	38.74191760376833	37.91244755658524	37.31337095333333	36.92959687333333	37.30447022105845	37.25652103650655	36.8131916096134	37.511053936006974
102	38.714851303353	37.86062469537034	37.22216929333333	36.84817751333334	37.203626899215806	37.1638913550553	36.697487064680466	37.3956870087704
107	38.639049185407345	37.80472169845414	37.10476594	36.74292234	37.08237773846187	37.050150618169056	36.56616793175495	37.25712887725176
112	38.57037670294525	37.720897398231784	36.9747451	36.623323680000006	36.951819959430665	36.917027326551406	36.428341088244714	37.10307669272271
117	38.51761728666133	37.65576280213116	36.86776869333333	36.501821026666676	36.83234147046903	36.78245341515152	36.31288996804061	36.94239408628748
122	38.464564151985	37.5863213961236	36.7520359	36.36748722666667	36.70527681094062	36.63035003573979	36.191808297013104	36.763354352747434
127	38.38129211351166	37.49611580114513	36.618698206666664	36.21197709333333	36.58205393188298	36.4541097182089	36.048632610315096	36.56217056674108
132	38.33364656416704	37.429620928188235	36.48811877333333	36.04743680666667	36.46174272809255	36.27308893517145	35.907148946616154	36.3580458431136
137	38.25990626553088	37.31282820711495	36.346612633333336	35.85935571333333	36.33332699482169	36.05761166023465	35.76191587802482	36.12212424207678
142	38.18307375381697	37.20052821512172	36.18795374666667	35.64397759333333	36.188775909201674	35.81374376338279	35.602560211300684	35.865226703036555
147	38.09322084621492	37.08983209316152	36.02926574	35.40393300666667	36.04697232568701	35.54617234555909	35.43725531686098	35.587822859098715
150	38.063777783053624	36.96455891415791	35.9171954	35.2222927	35.94660275048577	35.347408255397475	35.32222071377941	35.38147886814962
