Locus_Tag	Gene_Name	Product_Description	Strain_Name	Accession	GO_Term	Namespace	GO_Evidence_Code	Evidence_Ontology_ECO_Code	Evidence_Ontology_Term	Similar_To_Binds_To	PMID
PA0001	dnaA	chromosomal replication initiator protein DnaA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005524	ATP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd06571	PMID:24451626
PA0001	dnaA	chromosomal replication initiator protein DnaA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006270	DNA replication initiation	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd06571	PMID:24451626
PA0001	dnaA	chromosomal replication initiator protein DnaA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006275	regulation of DNA replication	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd06571	PMID:24451626
PA0001	dnaA	chromosomal replication initiator protein DnaA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006260	DNA replication	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:12068813
PA0001	dnaA	chromosomal replication initiator protein DnaA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003677	DNA binding	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:7615570
PA0001	dnaA	chromosomal replication initiator protein DnaA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003688	DNA replication origin binding	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:19833870
PA0001	dnaA	chromosomal replication initiator protein DnaA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0043565	sequence-specific DNA binding	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:10551881
PA0002	dnaN	DNA polymerase III, beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003887	DNA-directed DNA polymerase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02767	PMID:24451626
PA0002	dnaN	DNA polymerase III, beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006260	DNA replication	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02767	PMID:24451626
PA0002	dnaN	DNA polymerase III, beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008408	3'-5' exonuclease activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02767	PMID:24451626
PA0002	dnaN	DNA polymerase III, beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0009360	DNA polymerase III complex	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02767	PMID:24451626
PA0002	dnaN	DNA polymerase III, beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003677	DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF000804	PMID:24451626
PA0002	dnaN	DNA polymerase III, beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006271	DNA strand elongation involved in DNA replication	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion	UniProtKB:P0A988	PMID:3519609
PA0003	recF	RecF protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003697	single-stranded DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00365	PMID:24451626
PA0003	recF	RecF protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005524	ATP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00365	PMID:24451626
PA0003	recF	RecF protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006281	DNA repair	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00365	PMID:24451626
PA0003	recF	RecF protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0000731	DNA synthesis involved in DNA repair	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:9108043
PA0003	recF	RecF protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0009411	response to UV	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:9108043
PA0004	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005694	chromosome	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01898	PMID:24451626
