Locus_Tag	Gene_Name	Product_Description	Strain_Name	Accession	GO_Term	Namespace	GO_Evidence_Code	Evidence_Ontology_ECO_Code	Evidence_Ontology_Term	Similar_To_Binds_To	PMID
PA14_00010	dnaA	chromosomal replication initiation protein	Pseudomonas aeruginosa UCBPP-PA14	GO:0005524	ATP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd06571	PMID:24451626
PA14_00010	dnaA	chromosomal replication initiation protein	Pseudomonas aeruginosa UCBPP-PA14	GO:0006270	DNA replication initiation	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd06571	PMID:24451626
PA14_00010	dnaA	chromosomal replication initiation protein	Pseudomonas aeruginosa UCBPP-PA14	GO:0006275	regulation of DNA replication	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd06571	PMID:24451626
PA14_00010	dnaA	chromosomal replication initiation protein	Pseudomonas aeruginosa UCBPP-PA14	GO:0043565	sequence-specific DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd06571	PMID:24451626
PA14_00010	dnaA	chromosomal replication initiation protein	Pseudomonas aeruginosa UCBPP-PA14	GO:0003677	DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00362	PMID:24451626
PA14_00010	dnaA	chromosomal replication initiation protein	Pseudomonas aeruginosa UCBPP-PA14	GO:0003688	DNA replication origin binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00362	PMID:24451626
PA14_00010	dnaA	chromosomal replication initiation protein	Pseudomonas aeruginosa UCBPP-PA14	GO:0006260	DNA replication	biological_process	ISS	ECO:0000249	sequence similarity evidence used in automatic assertion	PseudoCAP:PA0001	PMID:12068813
PA14_00010	dnaA	chromosomal replication initiation protein	Pseudomonas aeruginosa UCBPP-PA14	GO:0003677	DNA binding	molecular_function	ISS	ECO:0000249	sequence similarity evidence used in automatic assertion	PseudoCAP:PA0001	PMID:7615570
PA14_00010	dnaA	chromosomal replication initiation protein	Pseudomonas aeruginosa UCBPP-PA14	GO:0003688	DNA replication origin binding	molecular_function	ISS	ECO:0000249	sequence similarity evidence used in automatic assertion	PseudoCAP:PA0001	PMID:19833870
PA14_00010	dnaA	chromosomal replication initiation protein	Pseudomonas aeruginosa UCBPP-PA14	GO:0043565	sequence-specific DNA binding	molecular_function	ISS	ECO:0000249	sequence similarity evidence used in automatic assertion	PseudoCAP:PA0001	PMID:10551881
PA14_00020	dnaN	DNA polymerase III subunit beta	Pseudomonas aeruginosa UCBPP-PA14	GO:0003887	DNA-directed DNA polymerase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02767	PMID:24451626
PA14_00020	dnaN	DNA polymerase III subunit beta	Pseudomonas aeruginosa UCBPP-PA14	GO:0006260	DNA replication	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02767	PMID:24451626
PA14_00020	dnaN	DNA polymerase III subunit beta	Pseudomonas aeruginosa UCBPP-PA14	GO:0008408	3'-5' exonuclease activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02767	PMID:24451626
PA14_00020	dnaN	DNA polymerase III subunit beta	Pseudomonas aeruginosa UCBPP-PA14	GO:0009360	DNA polymerase III complex	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02767	PMID:24451626
PA14_00020	dnaN	DNA polymerase III subunit beta	Pseudomonas aeruginosa UCBPP-PA14	GO:0003677	DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF000804	PMID:24451626
PA14_00020	dnaN	DNA polymerase III subunit beta	Pseudomonas aeruginosa UCBPP-PA14	GO:0006271	DNA strand elongation involved in DNA replication	biological_process	ISS	ECO:0000249	sequence similarity evidence used in automatic assertion	UniProtKB:P0A988	PMID:3519609
PA14_00030	recF	recombination protein F	Pseudomonas aeruginosa UCBPP-PA14	GO:0003697	single-stranded DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00365	PMID:24451626
PA14_00030	recF	recombination protein F	Pseudomonas aeruginosa UCBPP-PA14	GO:0005524	ATP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00365	PMID:24451626
PA14_00030	recF	recombination protein F	Pseudomonas aeruginosa UCBPP-PA14	GO:0006281	DNA repair	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00365	PMID:24451626
PA14_00030	recF	recombination protein F	Pseudomonas aeruginosa UCBPP-PA14	GO:0000731	DNA synthesis involved in DNA repair	biological_process	ISS	ECO:0000249	sequence similarity evidence used in automatic assertion	PseudoCAP:PA0003	PMID:9108043
PA14_00030	recF	recombination protein F	Pseudomonas aeruginosa UCBPP-PA14	GO:0009411	response to UV	biological_process	ISS	ECO:0000249	sequence similarity evidence used in automatic assertion	PseudoCAP:PA0003	PMID:9108043
PA14_00050	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa UCBPP-PA14	GO:0003677	DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01898	PMID:24451626
PA14_00050	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa UCBPP-PA14	GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01898	PMID:24451626
PA14_00050	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa UCBPP-PA14	GO:0005524	ATP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01898	PMID:24451626
PA14_00050	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa UCBPP-PA14	GO:0005694	chromosome	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01898	PMID:24451626
PA14_00050	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa UCBPP-PA14	GO:0006265	DNA topological change	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01898	PMID:24451626
PA14_00050	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa UCBPP-PA14	GO:0005524	ATP binding	molecular_function	ISS	ECO:0000249	sequence similarity evidence used in automatic assertion	PseudoCAP:PA0004	PMID:9756859
PA14_00050	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa UCBPP-PA14	GO:0006265	DNA topological change	biological_process	ISS	ECO:0000249	sequence similarity evidence used in automatic assertion	PseudoCAP:PA0004	PMID:6327603
PA14_00050	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa UCBPP-PA14	GO:0042493	response to drug	biological_process	ISS	ECO:0000249	sequence similarity evidence used in automatic assertion	PseudoCAP:PA0004	PMID:9144789
